,SITE_ID,VISIT_NO,chl,tn,tp,avg_temp,INDEX_LON_DD,INDEX_LAT_DD,INDEX_SITE_DEPTH,PERMANENT_IDENTIFIER,temp_bin,depth_bin,specific_lake_bin,log_tp_z,log_tn_z,log_eutro,eutro_bin,eutro_binf,tn_tp,P_limitation,crit_ratio,est_tn_tp,index_site_depth,NEI
16,NLA22_PA-10002,1,9.01,1130,34.2,26.5,-77.17683,39.98015,3.8,57484847,4,2,2112,-0.132277672,0.528468551,0.19809544,4,4,33.04093567,0.888,15.74376557,21.74635921,4.133333333,0.241050634
17,NLA22_NJ-10001,1,6.21,285,12.7,25.6,-74.996713,41.039607,4.4,120022888,4,3,356,-0.889512428,-0.972790263,-0.931151345,1,1,22.44094488,0.764333333,15.95265152,22.36108454,4.4,-0.931151345
18,NLA22_MI-10126,1,15.2,876,68.8,25.1,-83.12077,42.88913,2.4,146646167,3,2,1259,0.402022625,0.250983798,0.326503212,4,4,12.73255814,0.506,13.92749908,14.95018314,2.4,0.326503212
19,NLA22_ND-10002,1,24.2,1580,68.3,14.3,-99.804434,47.263312,3.3,145408038,1,2,1208,0.396447093,0.893796122,0.645121608,4,4,23.13323572,0.961,14.88866991,23.38921467,3.2,0.837902422
20,NLA22_VA-10011,1,20.8,588,34.3,28.27,-77.5451,38.5025,2.2,54017832,5,1,2075,-0.13004584,-0.183475437,-0.156760638,3,3,17.14285714,0.734666667,13.6367865,18.44123431,2.2,-0.156760638
21,NES22-10123,1,6.96,344,24.6,25.1,-92.90751,34.43185,6,120031869,3,3,401,-0.384132251,-0.76773117,-0.575931711,2,2,13.98373984,0.247,17.55132905,14.99735501,7.1,-0.50475817
22,NES22-10109,1,47.2,738,69.1,33.9,-92.41772,32.75137,4.7,{99ce201b-6a3e-4f19-9c82-7861d34c9e48},5,3,74,0.405348528,0.064158224,0.234753376,4,4,10.68017366,0.247666667,16.17302283,13.30668044,4.7,0.234753376
23,NLA22_MI-10030,1,3.29,519,8.7,23.1,-82.64875,43.1917,8.5,1,2,4,121,-1.178669648,-0.319514594,-0.749092121,2,2,59.65517241,0.986,18.15262908,44.07666807,8.5,-0.749092121
24,NLA22_TX-10010,1,23,1180,88.1,27.9,-96.37051,29.85332,1.14,110395680,4,1,230,0.591035395,0.575655832,0.583345614,4,4,13.3938706,0.760666667,11.93007365,15.26337727,1.32,0.651923589
25,NLA22_KY-10002,1,10.8,291,19,26.6,-84.67997,37.48642,4,38480321,4,3,1844,-0.581583007,-0.95008411,-0.765833559,2,2,15.31578947,0.684,16.46768235,19.04106345,5.133333333,-0.788019057
26,NES22-10138,1,34.9,1010,108,21.3,-96.86536,40.97769,6.6,49840769,2,4,2003,0.74671252,0.406113367,0.576412943,4,4,9.351851852,0.146,17.68960066,13.51355927,7.4,0.392746576
27,NLA22_TX-10133,1,29.9,1110,90.1,28.6,-95.49123,30.77887,3.2,115427213,5,2,285,0.608194411,0.509006321,0.558600366,4,4,12.31964484,0.404666667,14.88866991,14.63478435,3.2,0.558600366
28,NLA22_VA-10027,1,17.4,555,164,28.33,-77.29915,38.76268,6.3,46564455,5,3,1953,1.066030166,-0.246424245,0.409802961,4,4,3.384146341,0.002666667,17.1519183,5.990015357,6.3,0.409802961
29,NLA22_IA-10001,1,23.5,771,38.3,19.9,-94.4404,41.466651,6.6,133529488,1,4,838,-0.045728821,0.11183348,0.03305233,3,3,20.1305483,0.541666667,17.33256159,18.85352941,6.65,0.077013086
30,NES22-10112,1,26.6,541,56.8,31.6,-93.43015,32.23883,3.8,2,5,2,1725,0.255511656,-0.274268794,-0.009378569,3,3,9.524647887,0.215,15.46283656,12.30704803,3.8,-0.009378569
31,NLA22_MI-10114,1,13.4,1040,70.7,21.5,-83.7199,43.05813,7.2,147104200,2,4,1274,0.422846335,0.438013866,0.430430101,4,4,14.71004243,0.373,17.5980583,16.59463468,7.2,0.430430101
32,NLA22_WY-10047,1,1.59,355,32,18.1,-106.60983,44.41045,12,{AC762166-9D7E-4AAF-AA19-8F9414B7F8A0},1,5,84,-0.183102567,-0.733426721,-0.458264644,2,2,11.09375,0.132666667,19.30477115,13.5843217,12,-0.458264644
33,NLA22_NV-10025,1,1.23,610,198,20.38,-119.78986,39.45948,2.4,65193757,1,2,2232,1.210043974,-0.143442839,0.533300568,4,4,3.080808081,0.000666667,13.92749908,4.965679074,2.4,0.508791913
34,NLA22_VA-10004,1,9.47,368,37.4,26.45,-77.65294,38.2989,2.05,61381341,4,1,2191,-0.063905684,-0.69422989,-0.379067787,2,2,9.839572193,0.353666667,14.22690109,13.36785344,2.625,-0.186210368
35,NES22-10122,1,32,644,60.1,25.6,-96.47018,33.08224,10.5,120847804,4,4,423,0.298680128,-0.084329305,0.107175411,3,3,10.71547421,0.284333333,19.19150311,16.93205527,11.6,-0.016861397
36,NES22-10115,1,25.8,514,78.1,25.4,-94.77057,34.92874,2.1,57278670,3,1,2109,0.498938343,-0.330065073,0.084436635,3,3,6.581306018,0.129333333,13.48135908,9.320762647,2.1,0.084436635
37,NES22-10124,1,84.8,1170,67.4,27,-93.86509,32.50889,3.8,AC24116A-2C98-414F-8361-4287B6AF8425,4,2,2752,0.386307492,0.566380406,0.476343949,4,4,17.35905045,0.486,15.43339948,15.76200198,3.766666667,0.484250616
38,NES22-10116,1,34.7,718,59.6,28.6,-94.00579,32.71407,3.2,99026F41-9176-4766-AE75-9EF2F72F929B,5,2,2742,0.292294108,0.034215244,0.163254676,3,3,12.04697987,0.304666667,14.83605328,13.34324977,3.15,0.08258344
39,NLA22_RI-10001,1,4.29,306,10.3,21.8,-71.48768,41.43512,10.7,136214431,2,4,907,-1.049622628,-0.895305951,-0.97246429,1,1,29.70873786,0.962,18.84800765,29.91128692,10.46666667,-0.870819178
40,NLA22_LA-10016,1,5.84,456,15.2,28.9,-93.20425,30.13095,2.3,149627995,5,1,1403,-0.752154397,-0.46055402,-0.606354209,2,2,30,0.992,13.8571578,29.43691623,2.35,-0.600821364
41,NLA22_RI-10002,1,43.8,530,32.9,21.5,-71.56422,41.50348,5.3,136216759,2,3,911,-0.161900535,-0.296656911,-0.229278723,3,3,16.10942249,0.388666667,16.57443543,15.81442179,5.3,-0.261027263
42,NLA22_MI-10040,1,16.3,719,38.7,18.1,-85.96051,43.64069,5.5,82818768,1,3,2531,-0.03778691,0.035732093,-0.001027409,3,3,18.57881137,0.673,16.81753076,20.01485993,5.7,-0.023988803
43,NLA22_LA-10017,1,83.2,1190,71.1,29.9,-90.5,30.54659,2.3,148047105,5,1,1339,0.427158911,0.584852983,0.506005947,4,4,16.73699015,0.677666667,14.67304109,16.90906214,3,0.302461849
44,NLA22_CA-10037,1,11.2,2200,148,23.45,-121.066715,38.331684,1.5,142773756,2,1,1065,0.98756112,1.25457387,1.121067495,5,5,14.86486486,0.731666667,12.35717606,16.77668662,1.5,1.121067495
45,NLA22_CA-10126,1,2.81,389,27,20.56,-119.67824,34.52841,5.8,27573835,1,3,1762,-0.31297374,-0.633746804,-0.473360272,2,2,14.40740741,0.389,16.87563809,16.37608105,5.8,-0.473360272
46,NLA22_WI-10102,1,2.87,735,15.5,18.5,-89.69223,43.11963,3.7,141291046,1,2,1042,-0.737214467,0.059718886,-0.338747791,2,2,47.41935484,0.987666667,15.37373563,37.6735666,3.7,-0.338747791
47,NES22-10117,1,56.2,2380,690,31.4,-98.37366,29.24662,15.5,110458437,5,5,231,2.16434228,1.340283549,1.752312915,5,5,3.449275362,0.004666667,20.26594198,9.677816225,16,1.223434725
48,NLA22_AR-10013,1,26.4,771,323,25.3,-92.1185646,34.7694401,1.7,60995157,3,1,2181,1.584131098,0.11183348,0.847982289,5,5,2.386996904,0,12.50246361,3.679288138,1.566666667,0.94736678
49,NES22-10121,1,23.9,843,60.1,27.5,-99.69117,32.59254,9,100986998,4,4,126,0.298680128,0.209134275,0.253907201,4,4,14.0266223,0.056333333,19.08914233,12.60942241,11.25,0.226160438
50,NES22-10114,1,4.68,531,22.1,21.3,-101.60596,35.68693,12.3,138790015,2,5,977,-0.466052328,-0.294602517,-0.380327423,2,2,24.02714932,0.626666667,19.31866342,21.22291743,12.05,-0.207481084
51,NLA22_MI-10109,1,7.3,663,16.1,20.2,-85.3949,42.53974,17.5,{98313CD3-329F-4BBA-B4C4-E460ECD25D97},1,5,72,-0.708183052,-0.052640366,-0.380411709,2,2,41.18012422,0.866333333,20.56534399,33.90975293,17.5,-0.380411709
52,NLA22_MI-10006,1,15.1,704,63.9,21.5,-85.61063,42.87444,3,152708032,2,2,1544,0.345545251,0.012754658,0.179149955,3,3,11.0172144,0.21,14.67304109,12.09271873,3,0.336327303
53,NLA22_MS-10003,1,64.8,985,151,29.85,-91.06374,32.48187,2,125452621,5,1,587,1.002900806,0.378797252,0.690849029,4,4,6.523178808,0.023333333,13.31834689,7.722923049,2,0.741832481
54,NES22-10147,1,0.744,705,31.6,17.7,-95.15221,43.38087,27.3,132544104,1,5,804,-0.192717814,0.014301651,-0.089208082,3,3,22.31012658,0.77,22.32696968,28.62947845,29.65,-0.183923568
55,NES22-10192,1,1.03,385,6.8,25.5,-114.39549,36.1387,46,122648503,3,5,486,-1.367018631,-0.645011565,-1.006015098,1,1,56.61764706,1,21.36517277,60.46431892,22.23333333,-0.695454363
56,NLA22_TX-10023,1,11.5,1060,57.1,28.9,-97.39494,26.13894,2.1,113374738,5,1,267,0.259538366,0.458773655,0.35915601,4,4,18.56392294,0.781333333,13.48135908,19.36685325,2.1,0.35915601
57,NLA22_RI-10003,1,9.02,736,34.1,22.8,-71.55605,41.1578,1.9,136211708,2,1,902,-0.13451604,0.061200676,-0.036657682,3,3,21.58357771,0.867,13.14697154,21.48922676,1.9,-0.036657682
58,NLA22_GA-10053,1,9.57,274,22.3,32.5,-84.61531,31.6157,3.1,74285859,5,2,2368,-0.459165777,-1.015688163,-0.73742697,2,2,12.28699552,0.414,14.78259474,14.65755409,3.1,-0.73742697
59,NLA22_CA-10055,1,55.5,1360,62.9,23.97,-120.856144,38.14266,3,61098643,3,2,2185,0.333488186,0.730382963,0.531935575,4,4,21.62162162,0.863,14.55977306,20.71130756,2.9,0.377986814
60,NLA22_WV-10005,1,2.05,679,8.3,24.6,-82.06047,38.16484,8.2,{17D32891-CF68-4DE9-81BE-6A925FB7410C},3,4,18,-1.21464815,-0.026651512,-0.620649831,2,2,81.80722892,0.997333333,18.03257712,55.27400242,8.2,-0.620649831
61,NLA22_CA-10161,1,65.1,1340,76.1,19.83,-116.693083,33.66588,9.6,41209407,1,4,1864,0.479108384,0.714236654,0.596672519,4,4,17.60840999,0.426666667,18.55922913,18.51216542,9.6,0.596672519
62,NLA22_KY-10018,1,11.1,445,20.1,27.03,-87.52024,37.40537,6.5,52940856,4,4,2053,-0.538561821,-0.487166697,-0.512864259,2,2,22.13930348,0.925,17.25633577,26.89273562,6.5,-0.652212859
63,NLA22_ND-10003,1,18.1,1660,91.3,17.5,-99.230595,47.131857,2.4,147306181,1,2,1282,0.618307927,0.94762711,0.782967518,4,4,18.18181818,0.887333333,13.97358377,19.42572515,2.433333333,0.923316429
64,NLA22_MI-10110,1,0.645,531,13.2,21.3,-83.35871,42.78274,14.1,146646524,2,5,1260,-0.859995167,-0.294602517,-0.577298842,2,2,40.22727273,0.886666667,19.84358206,33.67247945,14.1,-0.577298842
65,NLA22_KY-10016,1,58,811,185,26.9,-89.1106,36.81675,2.1,54366715,4,1,2078,1.158132509,0.166958045,0.662545277,4,4,4.383783784,0.003333333,13.40084706,6.416919978,2.05,1.046113493
66,NLA22_WI-10105,1,4.5,1190,24,21,-88.59882,42.86,2.3,143250338,2,1,1092,-0.403007335,0.584852983,0.090922824,3,3,49.58333333,0.994,13.7853037,39.23614846,2.3,0.090922824
67,NLA22_CA-10129,1,1.37,250,9.3,22.66,-117.046423,33.160529,11.5,27834984,2,4,1766,-1.127690625,-1.115592192,-1.121641408,1,1,26.88172043,0.715333333,19.16257577,25.37340726,11.5,-1.121641408
68,NLA22_LA-10101,1,12.9,658,37.7,30,-91.12674,30.97609,1.7,133390846,5,1,834,-0.057798578,-0.060890639,-0.059344609,3,3,17.4535809,0.659,14.06388891,16.61137806,2.5,-0.073218742
69,NLA22_LA-10039,1,52.8,863,87.9,30.1,-90.14706,30.78195,2,147966228,5,1,1335,0.589298117,0.234688926,0.411993522,4,4,9.817974972,0.223333333,13.40084706,11.16420677,2.05,0.477346238
70,NLA22_VA-10002,1,58.4,869,102,27.07,-76.767,37.39935,2,128574313,4,1,680,0.703020511,0.242239921,0.472630216,4,4,8.519607843,0.117666667,14.13005121,10.91674998,2.55,0.525037003
71,NLA22_RI-10004,1,4.93,400,18.2,23,-71.46783,41.78866,4.6,127659839,2,3,637,-0.614465585,-0.603355949,-0.608910767,2,2,21.97802198,0.998333333,15.50651153,38.28793995,3.85,-0.749540184
72,NLA22_WV-10025,1,14.1,493,40.2,25.7,-81.39531,38.67239,5.9,a4345d3d-87cf-4580-af26-0a5166883250,4,3,2751,-0.008718691,-0.375527423,-0.192123057,3,3,12.26368159,0.268,16.93275208,14.46582264,5.9,-0.192123057
73,NLA22_GA-10020,1,17.3,450,42.6,29.89,-84.39635,31.78791,2.59,74283321,5,2,2367,0.035606888,-0.474989409,-0.219691261,3,3,10.56338028,0.357333333,14.18205362,13.21719981,2.59,-0.219691261
74,NES22-10189,1,3.38,1070,90,24.1,-115.12393,37.29539,2.4,148548440,3,2,1364,0.607345547,0.469007119,0.538176333,4,4,11.88888889,0.968333333,12.9038762,20.91787343,1.766666667,0.644691236
75,NLA22_TX-10136,1,8.67,1360,57.9,29,-97.52644,25.99032,1,113376574,5,1,269,0.270173697,0.730382963,0.50027833,4,4,23.48877375,0.954,11.00248187,23.11176136,1,0.50027833
76,NES22-10080,1,4.96,498,12.8,19.01,-88.44812,43.09579,20,143249294,1,5,1089,-0.883517087,-0.364529792,-0.624023439,2,2,38.90625,0.999666667,20.88811986,47.63869919,19.275,-0.683869696
77,NLA22_WY-10023,1,7.22,383,41.1,15.36,-111.014505,41.481916,9.6,46882399,1,4,1959,0.008206031,-0.650687911,-0.32124094,2,2,9.318734793,0.086666667,18.55922913,11.94655863,9.6,-0.32124094
78,NLA22_CA-10178,1,1.58,273,14.6,13.22,-120.320925,37.524538,6,66491323,1,3,2255,-0.782939848,-1.019673016,-0.901306432,1,1,18.69863014,0.577333333,16.98890612,19.53764995,6,-0.901306432
79,NLA22_WY-10004,1,3.49,451,28.4,18,-106.425737,42.79373,16.1,153794419,1,5,1565,-0.274331474,-0.472570194,-0.373450834,2,2,15.88028169,0.575666667,18.09980447,19.32178124,8.366666667,-0.188377628
80,NLA22_SD-10018,1,5.4,1430,112,19.15,-97.1842,44.8675,2.7,126757766,1,2,614,0.774512022,0.785082554,0.779797288,4,4,12.76785714,0.561,13.92749908,15.17002804,2.4,1.024639409
81,NLA22_VA-10026,1,12.3,478,26.6,26.5,-76.59543,37.02617,4.3,135654213,4,3,870,-0.324382938,-0.409202273,-0.366792605,2,2,17.96992481,0.617,15.87584154,18.77667387,4.3,-0.366792605
82,NES22-10083,1,5.29,1170,17.5,20.37,-88.20874,42.81411,19,121623273,1,5,446,-0.644445979,0.566380406,-0.039032786,3,3,66.85714286,0.975666667,20.84010863,38.10328549,19,0.014606172
83,NLA22_MI-10105,1,19,2930,23,19.9,-84.90585,41.8996,19,155636995,1,5,1638,-0.435539992,1.566866706,0.565663357,4,4,127.3913043,0.999666667,20.84010863,75.94391777,19,0.565663357
84,NLA22_NV-10111,1,2.21,1430,121,14.02,-119.0636,41.50327,9.75,152068793,1,4,1508,0.833593937,0.785082554,0.809338245,4,4,11.81818182,0.175666667,18.61102997,13.98913769,9.75,0.809338245
85,NLA22_NV-10068,1,6.06,1440,184,16.11,-119.4604,41.91578,1.1,158123064,1,1,1695,1.153989398,0.7926774,0.973333399,5,5,7.826086957,0.238,11.32092147,9.572989812,1.1,0.932590354
86,NLA22_NV-10242,1,2.22,931,102,13.39,-118.74206,41.69584,8,153058263,1,4,1561,0.703020511,0.317348598,0.510184554,4,4,9.12745098,0.001666667,17.35758858,8.047994685,6.7,0.261825584
87,NLA22_MI-10023,1,1.85,818,10,20.95,-84.97616,41.778,15,155637777,2,5,1642,-1.072217438,0.176324575,-0.447946431,2,2,81.8,0.993666667,20.05031316,54.99733046,15,-0.447946431
88,NLA22_MI-10027,1,2.5,518,9.3,20.2,-84.21056,42.07998,13,151873916,1,5,1487,-1.127690625,-0.321616535,-0.72465358,2,2,55.69892473,0.965333333,19.5722008,42.75387886,13,-0.72465358
89,NLA22_MA-10007,1,9.39,778,51.6,22.9,-71.23196,41.9459,1.3,3,2,1,1782,0.182117858,0.121683762,0.15190081,3,3,15.07751938,0.761333333,11.8790637,16.87800344,1.3,0.15190081
90,NES22-10118,1,27.2,859,154,23.9,-97.59544,35.56923,9.7,107587897,3,4,195,1.017938709,0.229625707,0.623782208,4,4,5.577922078,0.001,18.54178216,7.19445277,9.55,0.519950329
91,NLA22_NC-10010,1,33.1,595,82.9,27.5,-78.72393,35.83156,1.3,31413625,4,1,1789,0.544531108,-0.170577583,0.186976762,4,4,7.177322075,0.270666667,11.8790637,10.07075131,1.3,0.186976762
92,NLA22_AZ-10026,2,25.5,786,55.8,29.6,-111.90749,33.51172,3.7,139049810,5,2,983,0.241933998,0.132833281,0.187383639,4,4,14.08602151,0.532666667,15.66193894,16.46821101,4.033333333,0.117297985
93,NLA22_AZ-10108,1,20.4,1110,38.2,31.7,-112.13614,33.37407,4.2,{02555EE1-2B2E-4744-9105-0513D005FCC0},5,3,4,-0.047727259,0.509006321,0.230639531,4,4,29.05759162,0.881,15.7972241,26.47923259,4.2,0.230639531
94,NLA22_GA-10084,1,3.28,713,13.2,29.13,-82.8509,31.18324,1.89,95819301,5,1,2715,-0.859995167,0.026599168,-0.416698,2,2,54.01515152,0.996333333,13.12934043,41.74295009,1.89,-0.416698
95,NLA22_TX-10140,1,66.8,2960,797,29.5,-97.371326,28.12458,1,128276087,5,1,672,2.274540836,1.5779689,1.926254868,5,5,3.713927227,0.052333333,11.00248187,6.327564677,1,1.926254868
96,NES22-10120,1,87.2,1340,178,31.8,-91.50951,31.66877,13,{18e7dcda-abeb-4d97-9de6-c77b981b5c5a},5,5,19,1.128647783,0.714236654,0.921442219,5,5,7.528089888,0,16.79231489,6.784596871,5.657142857,1.120825088
97,NLA22_DE-10001,1,66.6,1200,116,24.8,-75.71533,39.04537,3.8,120883902,3,2,427,0.801335899,0.59397317,0.697654534,4,4,10.34482759,0.230333333,15.46283656,13.31726916,3.8,0.649310793
98,NLA22_MO-10012,1,24.3,953,85.2,26.8,-93.19792,39.88816,2.1,75804684,4,1,2417,0.565450018,0.342802866,0.454126442,4,4,11.18544601,0.441,13.48135908,13.74859302,2.1,0.454126442
99,NES22-10169,1,4.94,1280,142,20.5,-96.94324,43.91716,4.1,130994966,1,3,759,0.955926175,0.66431086,0.810118518,4,4,9.014084507,0.213,15.71671209,13.0649075,4.1,0.853156295
100,NLA22_MA-10002,1,6.35,443,18.6,22.1,-71.13447,42.10602,2.7,135697253,2,2,872,-0.597847494,-0.492075966,-0.54496173,2,2,23.8172043,0.968,13.6367865,24.44863995,2.2,-0.453746615
101,NLA22_AZ-10009,2,5.59,865,13.1,23.3,-110.45346,31.42451,12.5,126241513,2,5,603,-0.865808139,0.237211742,-0.314298199,2,2,66.03053435,1,19.4143248,47.38320768,12.4,-0.233722866
102,NLA22_LA-10148,1,9.26,601,39.3,29.7,-92.0071,32.05012,6.5,156238174,5,4,1677,-0.026026646,-0.159642482,-0.092834564,3,3,15.29262087,0.372333333,17.38242949,16.24956849,6.75,-0.016063064
103,NLA22_RI-10008,1,4.03,574,22.4,22.8,-71.6517,41.9113,2.1,123913606,2,1,560,-0.455745628,-0.209738296,-0.332741962,2,2,25.625,0.927,13.48135908,24.66498764,2.1,-0.332741962
104,NES22-10119,1,16.7,508,191,32,-93.10675,30.74821,1.3,{64CFE5EA-6C8E-4412-999B-D71DAB283998},5,1,55,1.182530391,-0.342861963,0.419834214,4,4,2.659685864,0,15.54962292,5.723113608,3.9,0.24655982
105,NES22-10113,1,21.8,431,27.7,29.5,-92.45886,31.11325,6,69624733,5,3,2290,-0.293408451,-0.522005241,-0.407706846,2,2,15.55956679,0.403333333,17.07140629,16.59878229,6.15,-0.336419366
106,NES22-10141,1,19.4,666,31.9,28.5,-93.30822,37.89269,20.4,102216470,5,5,137,-0.185495064,-0.047720015,-0.116607539,3,3,20.87774295,0.525333333,19.81383042,20.61380083,13.975,-0.110703969
107,NLA22_AR-10010,1,60.8,978,54.9,29.3,-90.3428695,34.9406253,8.2,120032616,5,4,407,0.229504422,0.371024431,0.300264426,4,4,17.81420765,0.491,18.03257712,18.9818819,8.2,0.300264426
108,NLA22_IA-10006,1,2.74,440,17.7,26.1,-92.41812,40.89158,7.2,146618755,4,4,1258,-0.635759498,-0.499481585,-0.567620541,2,2,24.85875706,0.733666667,17.5980583,23.60670758,7.2,-0.567620541
109,NLA22_MA-10008,1,7.23,619,10.1,23.8,-71.75695,42.28904,25.9,123912469,3,5,556,-1.064611384,-0.127480465,-0.596045925,2,2,61.28712871,0.961333333,21.87519071,45.06313921,25.9,-0.596045925
110,NLA22_NM-10055,1,4.58,729,74.5,22.5,-106.31691,35.63085,13.9,128034642,2,5,658,0.462865498,0.050785591,0.256825544,4,4,9.785234899,0.014333333,20.9863314,11.52923878,19.85,-0.213964534
111,NLA22_LA-10302,1,9.33,538,18,31.3,-93.30837,32.48878,1.6,{e112e49b-a8e3-4823-a52f-f6188c7ea857},5,1,103,-0.622912102,-0.280329176,-0.451620639,2,2,29.88888889,0.966,12.57280488,27.30165049,1.6,-0.451620639
112,NLA22_WA-10002,1,6.4,329,23.9,20.1,-122.4543,48.70346,13.1,152293112,1,5,1522,-0.406198997,-0.816321205,-0.611260101,2,2,13.76569038,0.067333333,19.5722008,13.23654374,13,-0.646003936
113,NLA22_WA-10003,1,13.4,1640,116,26.4,-122.14008,47.60496,4.7,148900237,4,3,1378,0.801335899,0.934416573,0.867876236,5,5,14.13793103,0.52,16.13728894,17.07019261,4.65,0.737938455
114,NLA22_WA-10015,1,6.08,836,21.3,23.9,-118.25324,48.50271,10.2,148396688,3,4,1357,-0.494236242,0.20004668,-0.147094781,3,3,39.24882629,0.903,18.76178127,32.9142284,10.2,-0.147094781
115,NLA22_WA-10019,1,2.73,534,13.5,20.3,-119.34046,48.88938,12,147577002,1,5,1304,-0.84281687,-0.288462467,-0.565639669,2,2,39.55555556,0.893333333,19.30477115,33.07481689,12,-0.565639669
116,NES22-10173,1,13,2220,327,22.5,-98.14658,44.5681,2.6,145670635,2,2,1234,1.593539242,1.264436887,1.428988065,5,5,6.788990826,0.020333333,13.99638991,8.192147995,2.45,1.379578335
117,NES22-10170,1,4.12,1930,631,22.7,-98.61803,45.53704,5.2,148621844,2,3,1366,2.096015641,1.111871015,1.603943328,5,5,3.058637084,0,16.85638105,4.046859135,5.766666667,1.499464366
118,NLA22_MI-10021,1,4.48,1180,28.5,22.6,-85.93497,43.48031,13,121860630,2,5,461,-0.271644645,0.575655832,0.152005593,3,3,41.40350877,0.904333333,19.5722008,34.34065093,13,0.152005593
119,NLA22_NV-10235,1,33.4,563,132,19.83,-119.07488,39.44395,18.7,136854961,1,5,938,0.900105612,-0.230826756,0.334639428,4,4,4.265151515,0.000666667,20.78693371,6.952986081,18.7,0.334639428
120,NLA22_WY-10033,1,21.3,1310,86.1,17.22,-105.82854,41.401904,2.3,132226864,1,1,795,0.573482338,0.689559617,0.631520977,4,4,15.21486643,0.726,14.06388891,17.61200699,2.5,0.551293425
121,NLA22_KY-10009,1,18.9,924,91.6,20.1,-84.610932,38.312104,2.7,38462239,1,2,1842,0.620815535,0.309123231,0.464969383,4,4,10.08733624,0.310333333,14.32102244,12.75160139,2.7,0.464969383
122,NLA22_OK-10028,1,13.6,724,74.2,26.5,-97.38371,35.63395,6.7,167672994,4,4,1716,0.459781154,0.043284832,0.251532993,4,4,9.757412399,0.147333333,17.35758858,12.44310139,6.7,0.251532993
