SITE_ID,VISIT_NO,secchi_avg,chl,tn,tp,avg_temp,INDEX_LON_DD,INDEX_LAT_DD,INDEX_SITE_DEPTH,PERMANENT_IDENTIFIER,temp_bin,depth_bin,specific_lake_bin,log_tp_z,log_tn_z,log_eutro,eutro_bin,eutro_binf
NLA22_NJ-10003,1,0.525,80,3670,371,23.2,-74.003783,40.22515,1.1,{7D5557BE-B788-452C-94D1-B16A2A457C88},2,1,64,1.6900388039253615,1.8122905341292646,1.751164669027313,5,5
NLA22_NM-10013,1,1.95,2.58,706,59,12.1,-104.65739,36.57773,2.7,139098349,1,2,991,0.2845597888630496,0.015846450423458305,0.15020311964325395,3,3
NLA22_NJ-10009,1,0.625,23.5,746,84.3,26.2,-74.924317,39.934989,2.1,25607340,4,1,1735,0.5573323980706943,0.075908806094133,0.31662060208241366,4,4
NLA22_PA-10002,1,1.925,9.01,1130,34.2,26.5,-77.17683,39.98015,3.8,57484847,4,2,2112,-0.1322776721624211,0.5284685514503704,0.19809543964397466,4,4
NLA22_NJ-10001,1,2.6,6.21,285,12.7,25.6,-74.996713,41.039607,4.4,120022888,4,3,356,-0.8895124275314931,-0.9727902633893729,-0.931151345460433,1,1
NLA22_MI-10126,1,1.4,15.2,876,68.8,25.1,-83.12077,42.88913,2.4,146646167,3,2,1259,0.402022625330443,0.25098379771006546,0.3265032115202542,4,4
NLA22_ND-10002,1,0.75,24.2,1580,68.3,14.3,-99.804434,47.263312,3.3,145408038,1,2,1208,0.3964470932727663,0.8937961221523957,0.645121607712581,4,4
NLA22_VA-10011,1,0.855,20.8,588,34.3,28.27,-77.5451,38.5025,2.2,54017832,5,1,2075,-0.1300458397561396,-0.18347543673836508,-0.15676063824725234,3,3
NES22-10123,1,1.75,6.96,344,24.6,25.1,-92.90751,34.43185,6,120031869,3,3,401,-0.3841322509572368,-0.7677311702466798,-0.5759317106019584,2,2
NES22-10109,1,0.65,47.2,738,69.1,33.9,-92.41772,32.75137,4.7,{99ce201b-6a3e-4f19-9c82-7861d34c9e48},5,3,74,0.4053485278483788,0.06415822400401573,0.23475337592619727,4,4
NLA22_MI-10030,1,3.38,3.29,519,8.7,23.1,-82.64875,43.1917,8.5,1,2,4,121,-1.1786696483102197,-0.31951459418797584,-0.7490921212490977,2,2
NLA22_TX-10010,1,1.14,23,1180,88.1,27.9,-96.37051,29.85332,1.14,110395680,4,1,230,0.5910353952956748,0.5756558320026709,0.5833456136491728,4,4
NLA22_KY-10002,1,1.2,10.8,291,19,26.6,-84.67997,37.48642,4,38480321,4,3,1844,-0.5815830073772349,-0.9500841102071618,-0.7658335587921983,2,2
NES22-10138,1,0.49,34.9,1010,108,21.3,-96.86536,40.97769,6.6,49840769,2,4,2003,0.7467125198764633,0.40611336662628494,0.576412943251374,4,4
NLA22_TX-10133,1,1.275,29.9,1110,90.1,28.6,-95.49123,30.77887,3.2,115427213,5,2,285,0.6081944111010387,0.5090063212098629,0.5586003661554508,4,4
NLA22_VA-10027,1,1.6,17.4,555,164,28.33,-77.29915,38.76268,6.3,46564455,5,3,1953,1.066030166207869,-0.24642424471836347,0.4098029607447528,4,4
NLA22_IA-10001,1,2.5,23.5,771,38.3,19.9,-94.4404,41.466651,6.6,133529488,1,4,838,-0.04572882104002585,0.11183348014887999,0.03305232955442707,3,3
NES22-10112,1,0.775,26.6,541,56.8,31.6,-93.43015,32.23883,3.8,2,5,2,1725,0.2555116559922177,-0.27426879396934234,-0.009378568988562319,3,3
NLA22_MI-10114,1,1.3,13.4,1040,70.7,21.5,-83.7199,43.05813,7.2,147104200,2,4,1274,0.4228463346381752,0.4380138663845728,0.430430100511374,4,4
NLA22_WY-10047,1,3.95,1.59,355,32,18.1,-106.60983,44.41045,12,{AC762166-9D7E-4AAF-AA19-8F9414B7F8A0},1,5,84,-0.18310256709962439,-0.7334267209840422,-0.45826464404183326,2,2
NLA22_NV-10025,1,2.4,1.23,610,198,20.38,-119.78986,39.45948,2.4,65193757,1,2,2232,1.210043974417393,-0.14344283857192397,0.5333005679227345,4,4
NLA22_VA-10004,1,0.575,9.47,368,37.4,26.45,-77.65294,38.2989,2.05,61381341,4,1,2191,-0.0639056841190654,-0.6942298903639031,-0.37906778724148427,2,2
NES22-10122,1,0.54,32,644,60.1,25.6,-96.47018,33.08224,10.5,120847804,4,4,423,0.29868012759716445,-0.08432930468898835,0.10717541145408804,3,3
NES22-10115,1,0.325,25.8,514,78.1,25.4,-94.77057,34.92874,2.1,57278670,3,1,2109,0.4989383428403245,-0.33006507281769276,0.08443663501131587,3,3
NES22-10124,1,0.475,84.8,1170,67.4,27,-93.86509,32.50889,3.8,AC24116A-2C98-414F-8361-4287B6AF8425,4,2,2752,0.3863074921242229,0.5663804063894938,0.47634394925685836,4,4
NES22-10116,1,0.585,34.7,718,59.6,28.6,-94.00579,32.71407,3.2,99026F41-9176-4766-AE75-9EF2F72F929B,5,2,2742,0.2922941083657761,0.03421524363507685,0.16325467600042645,3,3
NLA22_RI-10001,1,5.449999999999999,4.29,306,10.3,21.8,-71.48768,41.43512,10.7,136214431,2,4,907,-1.049622628490016,-0.8953059514581868,-0.9724642899741014,1,1
NLA22_LA-10016,1,1.475,5.84,456,15.2,28.9,-93.20425,30.13095,2.3,149627995,5,1,1403,-0.7521543968131464,-0.46055402037010235,-0.6063542085916244,2,2
NLA22_RI-10002,1,1.5,43.8,530,32.9,21.5,-71.56422,41.50348,5.3,136216759,2,3,911,-0.16190053456906178,-0.2966569112761769,-0.22927872292261933,3,3
NLA22_MI-10040,1,1.6,16.3,719,38.7,18.1,-85.96051,43.64069,5.5,82818768,1,3,2531,-0.037786910055202835,0.03573209277513077,-0.0010274086400360316,3,3
NLA22_LA-10017,1,0.42,83.2,1190,71.1,29.9,-90.5,30.54659,2.3,148047105,5,1,1339,0.42715891056861116,0.5848529830489891,0.5060059468088002,4,4
NLA22_CA-10037,1,0.9,11.2,2200,148,23.45,-121.066715,38.331684,1.5,142773756,2,1,1065,0.9875611197744325,1.2545738702203166,1.1210674949973747,5,5
NLA22_CA-10126,1,1.435,2.81,389,27,20.56,-119.67824,34.52841,5.8,27573835,1,3,1762,-0.3129737401599079,-0.6337468037244367,-0.47336027194217234,2,2
NLA22_WI-10102,1,2.8,2.87,735,15.5,18.5,-89.69223,43.11963,3.7,141291046,1,2,1042,-0.7372144673888095,0.05971888617059074,-0.33874779060910937,2,2
NES22-10117,1,0.55,56.2,2380,690,31.4,-98.37366,29.24662,15.5,110458437,5,5,231,2.1643422802718972,1.3402835489772154,1.7523129146245564,5,5
NLA22_AR-10013,1,1.15,26.4,771,323,25.3,-92.1185646,34.7694401,1.7,60995157,3,1,2181,1.5841310982638708,0.11183348014887999,0.8479822892063754,5,5
NES22-10121,1,0.65,23.9,843,60.1,27.5,-99.69117,32.59254,9,100986998,4,4,126,0.29868012759716445,0.20913427492840092,0.25390720126278266,4,4
NES22-10114,1,1.15,4.68,531,22.1,21.3,-101.60596,35.68693,12.3,138790015,2,5,977,-0.46605232833642607,-0.29460251682959016,-0.3803274225830081,2,2
NLA22_MI-10109,1,1.79,7.3,663,16.1,20.2,-85.3949,42.53974,17.5,{98313CD3-329F-4BBA-B4C4-E460ECD25D97},1,5,72,-0.7081830520776264,-0.05264036582260144,-0.38041170895011395,2,2
NLA22_MI-10006,1,0.4,15.1,704,63.9,21.5,-85.61063,42.87444,3,152708032,2,2,1544,0.3455452506247568,0.01275465847417857,0.17914995454946767,3,3
NLA22_MS-10003,1,0.4,64.8,985,151,29.85,-91.06374,32.48187,2,125452621,5,1,587,1.002900806231916,0.3787972517192535,0.6908490289755848,4,4
NES22-10147,1,8.845,0.744,705,31.6,17.7,-95.15221,43.38087,27.3,132544104,1,5,804,-0.1927178140821135,0.014301650829310461,-0.08920808162640152,3,3
NES22-10192,1,10.45,1.03,385,6.8,25.5,-114.39549,36.1387,46,122648503,3,5,486,-1.3670186310035433,-0.6450115647984025,-1.0060150979009728,1,1
NLA22_TX-10023,1,1.3,11.5,1060,57.1,28.9,-97.39494,26.13894,2.1,113374738,5,1,267,0.2595383662140674,0.45877365465204945,0.35915601043305845,4,4
NLA22_RI-10003,1,1.55,9.02,736,34.1,22.8,-71.55605,41.1578,1.9,136211708,2,1,902,-0.1345160399584285,0.06120067556432316,-0.03665768219705268,3,3
NLA22_GA-10053,1,1.16,9.57,274,22.3,32.5,-84.61531,31.6157,3.1,74285859,5,2,2368,-0.4591657767486957,-1.0156881632165482,-0.7374269699826219,2,2
NLA22_CA-10055,1,1.35,55.5,1360,62.9,23.97,-120.856144,38.14266,3,61098643,3,2,2185,0.3334881858886995,0.7303829633023006,0.5319355745955,4,4
NLA22_WV-10005,1,3.5,2.05,679,8.3,24.6,-82.06047,38.16484,8.2,{17D32891-CF68-4DE9-81BE-6A925FB7410C},3,4,18,-1.2146481503868118,-0.02665151157059434,-0.6206498309787031,2,2
NLA22_CA-10161,1,0.955,65.1,1340,76.1,19.83,-116.693083,33.66588,9.6,41209407,1,4,1864,0.47910838371273995,0.7142366541881198,0.5966725189504298,4,4
NLA22_KY-10018,1,1.66,11.1,445,20.1,27.03,-87.52024,37.40537,6.5,52940856,4,4,2053,-0.5385618206958446,-0.4871666972316635,-0.512864258963754,2,2
NLA22_ND-10003,1,0.75,18.1,1660,91.3,17.5,-99.230595,47.131857,2.4,147306181,1,2,1282,0.6183079265158518,0.9476271095066737,0.7829675180112627,4,4
NLA22_MI-10110,1,4.2,0.645,531,13.2,21.3,-83.35871,42.78274,14.1,146646524,2,5,1260,-0.8599951673984375,-0.29460251682959016,-0.5772988421140138,2,2
NLA22_KY-10016,1,0.305,58,811,185,26.9,-89.1106,36.81675,2.1,54366715,4,1,2078,1.158132509210344,0.16695804499680006,0.662545277103572,4,4
NLA22_WI-10105,1,2.3,4.5,1190,24,21,-88.59882,42.86,2.3,143250338,2,1,1092,-0.4030073347924473,0.5848529830489891,0.09092282412827091,3,3
NLA22_CA-10129,1,9.775,1.37,250,9.3,22.66,-117.046423,33.160529,11.5,27834984,2,4,1766,-1.1276906245175438,-1.115592192327901,-1.1216414084227224,1,1
NLA22_LA-10101,1,1.3,12.9,658,37.7,30,-91.12674,30.97609,1.7,133390846,5,1,834,-0.05779857795027918,-0.06089063937130423,-0.059344608660791706,3,3
NLA22_LA-10039,1,0.55,52.8,863,87.9,30.1,-90.14706,30.78195,2,147966228,5,1,1335,0.5892981171475924,0.23468892590056095,0.41199352152407664,4,4
NLA22_VA-10002,1,0.9,58.4,869,102,27.07,-76.767,37.39935,2,128574313,4,1,680,0.7030205108122868,0.24223992098770783,0.4726302158999973,4,4
NLA22_RI-10004,1,2.45,4.93,400,18.2,23,-71.46783,41.78866,4.6,127659839,2,3,637,-0.6144655849843859,-0.6033559493086305,-0.6089107671465082,2,2
NLA22_WV-10025,1,1.35,14.1,493,40.2,25.7,-81.39531,38.67239,5.9,a4345d3d-87cf-4580-af26-0a5166883250,4,3,2751,-0.008718690677659024,-0.37552742275822315,-0.19212305671794108,3,3
NLA22_GA-10020,1,1.225,17.3,450,42.6,29.89,-84.39635,31.78791,2.59,74283321,5,2,2367,0.0356068882993948,-0.4749894093037094,-0.21969126050215732,3,3
NES22-10189,1,0.37,3.38,1070,90,24.1,-115.12393,37.29539,2.4,148548440,3,2,1364,0.607345546987012,0.4690071188647549,0.5381763329258835,4,4
NLA22_TX-10136,1,1,8.67,1360,57.9,29,-97.52644,25.99032,1,113376574,5,1,269,0.27017369681724723,0.7303829633023006,0.500278330059774,4,4
NES22-10080,1,4.05,4.96,498,12.8,19.01,-88.44812,43.09579,20,143249294,1,5,1089,-0.8835170865537214,-0.3645297922921611,-0.6240234394229413,2,2
NLA22_WY-10023,1,2.05,7.22,383,41.1,15.36,-111.014505,41.481916,9.6,46882399,1,4,1959,0.008206031467834708,-0.6506879106051575,-0.3212409395686614,2,2
NLA22_CA-10178,1,3.775,1.58,273,14.6,13.22,-120.320925,37.524538,6,66491323,1,3,2255,-0.7829398481224116,-1.0196730156675735,-0.9013064318949926,1,1
NLA22_WY-10004,1,3.6,3.49,451,28.4,18,-106.425737,42.79373,16.1,153794419,1,5,1565,-0.27433147402596786,-0.4725701942566364,-0.3734508341413021,2,2
NLA22_SD-10018,1,1.05,5.4,1430,112,19.15,-97.1842,44.8675,2.7,126757766,1,2,614,0.77451202185715,0.7850825540570672,0.7797972879571086,4,4
NLA22_VA-10026,1,2.325,12.3,478,26.6,26.5,-76.59543,37.02617,4.3,135654213,4,3,870,-0.3243829378745569,-0.4092022725476898,-0.36679260521112333,2,2
NES22-10083,1,3.425,5.29,1170,17.5,20.37,-88.20874,42.81411,19,121623273,1,5,446,-0.6444459787614946,0.5663804063894938,-0.03903278618600037,3,3
NLA22_MI-10105,1,1.65,19,2930,23,19.9,-84.90585,41.8996,19,155636995,1,5,1638,-0.43553999156211853,1.5668667063216923,0.5656633573797869,4,4
NLA22_NV-10111,1,2,2.21,1430,121,14.02,-119.0636,41.50327,9.75,152068793,1,4,1508,0.8335939366147751,0.7850825540570672,0.8093382453359211,4,4
NLA22_NV-10068,1,0.285,6.06,1440,184,16.11,-119.4604,41.91578,1.1,158123064,1,1,1695,1.1539893984924383,0.7926773996437875,0.9733333990681129,5,5
NLA22_NV-10242,1,1.7,2.22,931,102,13.39,-118.74206,41.69584,8,153058263,1,4,1561,0.7030205108122868,0.3173485980131536,0.5101845544127201,4,4
NLA22_MI-10023,1,4.85,1.85,818,10,20.95,-84.97616,41.778,15,155637777,2,5,1642,-1.0722174377000837,0.1763245747400339,-0.4479464314800249,2,2
NLA22_MI-10027,1,5.65,2.5,518,9.3,20.2,-84.21056,42.07998,13,151873916,1,5,1487,-1.1276906245175438,-0.3216165349189781,-0.7246535797182609,2,2
NLA22_MA-10007,1,0.65,9.39,778,51.6,22.9,-71.23196,41.9459,1.3,3,2,1,1782,0.18211785763762042,0.1216837622037897,0.15190080992070507,3,3
NES22-10118,1,0.825,27.2,859,154,23.9,-97.59544,35.56923,9.7,107587897,3,4,195,1.0179387087052574,0.229625706892839,0.6237822077990482,4,4
NLA22_NC-10010,1,0.55,33.1,595,82.9,27.5,-78.72393,35.83156,1.3,31413625,4,1,1789,0.5445311075259535,-0.17057758287923627,0.18697676232335858,4,4
NLA22_AZ-10026,2,0.6,25.5,786,55.8,29.6,-111.90749,33.51172,3.7,139049810,5,2,983,0.24193399784418934,0.1328332807347139,0.18738363928945162,4,4
NLA22_AZ-10108,1,0.5,20.4,1110,38.2,31.7,-112.13614,33.37407,4.2,{02555EE1-2B2E-4744-9105-0513D005FCC0},5,3,4,-0.047727258926342296,0.5090063212098629,0.2306395311417603,4,4
NLA22_GA-10084,1,0.51,3.28,713,13.2,29.13,-82.8509,31.18324,1.89,95819301,5,1,2715,-0.8599951673984375,0.02659916839827903,-0.41669799950007924,2,2
NLA22_TX-10140,1,0.45,66.8,2960,797,29.5,-97.371326,28.12458,1,128276087,5,1,672,2.2745408359578505,1.5779689000997419,1.926254868028796,5,5
NES22-10120,1,0.47,87.2,1340,178,31.8,-91.50951,31.66877,13,{18e7dcda-abeb-4d97-9de6-c77b981b5c5a},5,5,19,1.1286477830542732,0.7142366541881198,0.9214422186211965,5,5
NLA22_DE-10001,1,0.75,66.6,1200,116,24.8,-75.71533,39.04537,3.8,120883902,3,2,427,0.8013358988730714,0.5939731695861695,0.6976545342296205,4,4
NLA22_MO-10012,1,0.725,24.3,953,85.2,26.8,-93.19792,39.88816,2.1,75804684,4,1,2417,0.5654500183175803,0.3428028659471789,0.4541264421323796,4,4
NES22-10169,1,1.65,4.94,1280,142,20.5,-96.94324,43.91716,4.1,130994966,1,3,759,0.9559261754463148,0.6643108596388664,0.8101185175425906,4,4
NLA22_MA-10002,1,1.75,6.35,443,18.6,22.1,-71.13447,42.10602,2.7,135697253,2,2,872,-0.5978474944993583,-0.4920759664840142,-0.5449617304916863,2,2
NLA22_AZ-10009,2,2.65,5.59,865,13.1,23.3,-110.45346,31.42451,12.5,126241513,2,5,603,-0.8658081388045162,0.2372117416826326,-0.3142981985609418,2,2
NLA22_LA-10148,1,1.26,9.26,601,39.3,29.7,-92.0071,32.05012,6.5,156238174,5,4,1677,-0.026026646460968316,-0.1596424817990722,-0.09283456413002025,3,3
NLA22_RI-10008,1,1.55,4.03,574,22.4,22.8,-71.6517,41.9113,2.1,123913606,2,1,560,-0.45574562761513226,-0.2097382962542159,-0.3327419619346741,2,2
NES22-10119,1,0.29,16.7,508,191,32,-93.10675,30.74821,1.3,{64CFE5EA-6C8E-4412-999B-D71DAB283998},5,1,55,1.1825303905459403,-0.34286196267367347,0.4198342139361334,4,4
NES22-10113,1,1.07,21.8,431,27.7,29.5,-92.45886,31.11325,6,69624733,5,3,2290,-0.29340845126098586,-0.5220052412488686,-0.40770684625492726,2,2
NES22-10141,1,1.05,19.4,666,31.9,28.5,-93.30822,37.89269,20.4,102216470,5,5,137,-0.18549506375110408,-0.047720014660745554,-0.11660753920592482,3,3
NLA22_AR-10010,1,0.65,60.8,978,54.9,29.3,-90.3428695,34.9406253,8.2,120032616,5,4,407,0.22950442225611548,0.3710244306741469,0.3002644264651312,4,4
NLA22_IA-10006,1,2.925,2.74,440,17.7,26.1,-92.41812,40.89158,7.2,146618755,4,4,1258,-0.6357594982838707,-0.49948158454509195,-0.5676205414144813,2,2
NLA22_MA-10008,1,3.15,7.23,619,10.1,23.8,-71.75695,42.28904,25.9,123912469,3,5,556,-1.064611384336785,-0.12748046473522578,-0.5960459245360055,2,2
NLA22_NM-10055,1,0.5,4.58,729,74.5,22.5,-106.31691,35.63085,13.9,128034642,2,5,658,0.4628654978016875,0.05078559081644652,0.256825544309067,4,4
NLA22_LA-10302,1,1.6,9.33,538,18,31.3,-93.30837,32.48878,1.6,{e112e49b-a8e3-4823-a52f-f6188c7ea857},5,1,103,-0.6229121024852705,-0.28032917620959696,-0.45162063934743374,2,2
NLA22_WA-10002,1,4,6.4,329,23.9,20.1,-122.4543,48.70346,13.1,152293112,1,5,1522,-0.4061989972837098,-0.8163212052995306,-0.6112601012916201,2,2
NLA22_WA-10003,1,0.55,13.4,1640,116,26.4,-122.14008,47.60496,4.7,148900237,4,3,1378,0.8013358988730714,0.9344165728362768,0.8678762358546741,5,5
NLA22_WA-10015,1,2.35,6.08,836,21.3,23.9,-118.25324,48.50271,10.2,148396688,3,4,1357,-0.49423624171879077,0.20004668026404465,-0.14709478072737306,3,3
NLA22_WA-10019,1,2.2,2.73,534,13.5,20.3,-119.34046,48.88938,12,147577002,1,5,1304,-0.8428168701780935,-0.2884624671740456,-0.5656396686760695,2,2
NES22-10173,1,1.55,13,2220,327,22.5,-98.14658,44.5681,2.6,145670635,2,2,1234,1.5935392423328223,1.2644368871380893,1.4289880647354558,5,5
NES22-10170,1,1.95,4.12,1930,631,22.7,-98.61803,45.53704,5.2,148621844,2,3,1366,2.0960156406112445,1.111871014590453,1.6039433276008488,5,5
NLA22_MI-10021,1,2.8,4.48,1180,28.5,22.6,-85.93497,43.48031,13,121860630,2,5,461,-0.2716446450518723,0.5756558320026709,0.1520055934753993,3,3
NLA22_NV-10235,1,0.81,33.4,563,132,19.83,-119.07488,39.44395,18.7,136854961,1,5,938,0.9001056120920303,-0.23082675587241053,0.3346394281098099,4,4
NLA22_WY-10033,1,0.625,21.3,1310,86.1,17.22,-105.82854,41.401904,2.3,132226864,1,1,795,0.5734823379995376,0.6895596166053224,0.63152097730243,4,4
NLA22_KY-10009,1,0.85,18.9,924,91.6,20.1,-84.610932,38.312104,2.7,38462239,1,2,1842,0.6208155352910527,0.3091232311874408,0.46496938323924675,4,4
NLA22_OK-10028,1,0.65,13.6,724,74.2,26.5,-97.38371,35.63395,6.7,167672994,4,4,1716,0.4597811544530789,0.04328483215784602,0.25153299330546247,4,4
NLA22_WA-10032,1,4,3.07,613,14.2,22.3,-118.99713,47.94156,42.6,165655376,2,5,1703,-0.8041746040441534,-0.13809602851234387,-0.4711353162782487,2,2
NLA22_NH-10013,1,1.6,4.16,400,24.7,21.76,-71.87181,43.32646,1.6,135996947,2,1,886,-0.38103122416421437,-0.6033559493086305,-0.49219358673642244,2,2
NLA22_MI-10107,1,2.1,9.2,748,37.5,21.6,-85.57639,43.50965,23,121860494,2,5,460,-0.0618645559206244,0.07882676213761376,0.008481103108494682,3,3
NES22-10161,1,0.55,10.2,1160,541,24.4,-98.29429,45.72081,2.6,{FE8C2414-868D-42C5-A7DE-1980B7357E2A},3,2,118,1.978384419624736,0.5570253624155248,1.2677048910201303,5,5
NLA22_PA-10042,1,1.5,8.31,391,29.6,23.15,-78.92573,41.44279,1.7,102672535,2,1,140,-0.24269652969784974,-0.628157786700469,-0.43542715819915934,2,2
NLA22_CT-10023,1,0.825,22.1,694,27.5,25.2,-72.6209,41.44547,1.5,122174533,3,1,466,-0.2989476208337914,-0.0028372516804249983,-0.1508924362571082,3,3
NLA22_NV-10258,1,0.09,9.6,2150,1080,16.72,-119.7069,39.2667,1.55,4,1,1,1850,2.5068132993669314,1.2295186074276845,1.868165953397308,5,5
NES22-10064,1,1.175,17,2540,51.7,25.4,-90.40871,40.98777,9.3,152592542,3,4,1538,0.1835978233586418,1.411193492091735,0.7973956577251884,4,4
NES22-10076,1,0.4,69.2,1230,185,30.2,-90.08899,38.70362,1.6,120032894,5,1,411,1.158132509210344,0.6208845598746242,0.8895085345424841,5,5
NES22-10060,1,0.345,40.9,1490,107,29.3,-89.12198,39.01253,8.5,155038548,5,4,1580,0.739601751798496,0.8298774590852495,0.7847396054418727,4,4
NLA22_WV-10011,1,2.1,27.2,454,28.9,23.67,-79.79552,39.49372,2.1,27072277,3,1,1760,-0.26099078539880893,-0.4653446036052463,-0.3631676945020276,2,2
NLA22_LA-10224,1,0.39,27.9,949,105,31,-93.69922,32.46985,1.5,133232330,5,1,828,0.7251786436002385,0.3382188174174245,0.5316987305088315,4,4
NLA22_TX-10011,1,1.025,11.5,1630,50,28.1,-99.74089,28.55555,2.9,92732557,5,2,2682,0.1580402117721985,0.9277507665447554,0.542895489158477,4,4
NLA22_GA-10080,1,2.4,5.12,1140,22.2,31.48,-84.82606,30.7616,8,47202298,5,4,1963,-0.46260129739067263,0.5380708684670799,0.037734785538203613,3,3
NLA22_MA-10013,1,2.1,7.22,325,27,21.4,-72.27786,42.07083,2.1,141008588,2,1,1033,-0.3129737401599079,-0.8296529425629241,-0.571313341361416,2,2
NLA22_TX-10001,1,0.85,16.8,1090,33,26.4,-103.93088,31.94733,12.1,96520640,4,5,2724,-0.15958064794434051,0.489190212914066,0.16480478248486274,3,3
NLA22_VA-10014,1,0.4,53.6,1250,110,28.06,-76.1425,36.91829,1.3,5,5,1,2014,0.7607386392025798,0.6384632624375075,0.6996009508200436,4,4
NLA22_CT-10016,1,3.6,2.24,258,5.9,24.7,-71.87415,41.50893,10,122359984,3,4,473,-1.4755409906274186,-1.0812631832083324,-1.2784020869178754,1,1
NLA22_IN-10137,1,2.85,4.18,434,11.5,27.88,-85.98964,39.17411,5.6,{3a25d385-8dda-452d-b42e-42f0bfe35f06},4,3,31,-0.9653831215803041,-0.5144455166176705,-0.7399143190989873,2,2
NLA22_PA-10010,1,3.875,4.79,256,17.9,24,-75.70528,40.33468,16.6,25964596,3,5,1740,-0.6271706207758467,-1.089744595126542,-0.8584576079511944,1,1
NLA22_MI-10108,1,4.95,1.97,480,14.7,20.5,-84.7118,45.58642,25,155410978,1,5,1617,-0.7777220663875516,-0.40465171925101256,-0.591186892819282,2,2
NLA22_ND-10016,1,2.35,2.14,4700,519,19.2,-102.31047,48.239365,3.5,143755375,1,2,1120,1.9466499658055931,2.081889118556371,2.014269542180982,5,5
NLA22_ND-10059,1,1.95,4.8,3080,64.1,20.4,-102.152237,48.389369,2.5,143750879,1,2,1117,0.3479340089941294,1.6212801329862756,0.9846070709902025,5,5
NLA22_TN-10017,1,0.575,192,1900,184,30.2,-86.8407963,35.4024333,5.3,136619773,5,3,922,1.1539893984924383,1.0947972043376883,1.1243933014150633,5,5
NLA22_PA-10016,1,1.05,45.9,860,75.5,24.99,-80.23995,41.03131,2.1,130028544,3,1,732,0.4730576762137304,0.2308937185905024,0.3519756974021164,4,4
NLA22_CA-10097,1,3.075,8.34,393,24.1,24.7,-117.04212,32.788194,13.5,27736275,3,5,1765,-0.39982894328541474,-0.6225972851935124,-0.5112131142394636,2,2
NLA22_CA-10016,1,2.435,7.22,574,32.9,25.49,-116.778189,32.785813,16,27725599,3,5,1764,-0.16190053456906178,-0.2097382962542159,-0.18581941541163882,3,3
NLA22_NJ-10004,1,1.35,9.28,336,27,21.8,-74.893005,41.107217,2,26145086,2,1,1750,-0.3129737401599079,-0.7933760224132799,-0.5531748812865939,2,2
NLA22_VA-10029,1,0.45,62.4,1260,48.1,29.12,-77.98007,37.15676,4.7,61499713,5,3,2198,0.1284266429510823,0.6471474193904759,0.3877870311707791,4,4
NES22-10071,1,1.025,37.6,2610,49.9,26.6,-86.0505,40.07463,11.4,90148089,4,4,2626,0.15650987681436562,1.4408224683486712,0.7986661725815184,4,4
NLA22_MA-10012,1,1.65,11.8,640,74.5,24.1,-71.09895,42.71426,2.2,135912095,3,1,879,0.4628654978016875,-0.09111970628935996,0.18587289575616378,4,4
NLA22_FL-10032,1,2.6,1.46,233,5.7,29.4,-81.63135,29.16505,6.1,107776017,5,3,197,-1.5019022945241547,-1.1923425327312538,-1.3471224136277042,1,1
